Assignments,Due Date,Days Left,Points,Course Name,Link
Discussion: Modern Theme 9 — The Pritzker Prize,Mar 7 at 11:59pm,5,-/1 pts,ARCH 151 A Wi 24: Appreciation Of Architecture II,https://canvas.uw.edu/courses/1695117/assignments/9130449
"Modern Theme 5, makeup/extra credit (optional)",Mar 12 at 11:59pm,10,-/1 pts,ARCH 151 A Wi 24: Appreciation Of Architecture II,https://canvas.uw.edu/courses/1695117/assignments/9130477
"Modern Theme 7, makeup/extra credit (optional)",Mar 12 at 11:59pm,10,-/2 pts,ARCH 151 A Wi 24: Appreciation Of Architecture II,https://canvas.uw.edu/courses/1695117/assignments/9130519
Problem Set 2,Mar 4 at 11:59pm,2,-/10 pts,CS&SS 221 A Wi 24: Statistical Concepts And Methods For The Social Sciences,https://canvas.uw.edu/courses/1695840/assignments/9038103
Reading Quiz 4,Mar 6 at 11:59pm,4,-/10 pts,CS&SS 221 A Wi 24: Statistical Concepts And Methods For The Social Sciences,https://canvas.uw.edu/courses/1695840/assignments/9037257
Problem Set 3,Mar 11 at 11:59pm,9,-/10 pts,CS&SS 221 A Wi 24: Statistical Concepts And Methods For The Social Sciences,https://canvas.uw.edu/courses/1695840/assignments/9125766
Exam 3,Mar 13 at 11:59pm,11,-/50 pts,CS&SS 221 A Wi 24: Statistical Concepts And Methods For The Social Sciences,https://canvas.uw.edu/courses/1695840/assignments/9037262
March 5 in-class exercise,Mar 5 at 7pm,3,None,INFO 200 B Wi 24,https://canvas.uw.edu/courses/1696999/assignments/8859202
Exam 3,Mar 6 at 9pm,4,-/50 pts,INFO 200 B Wi 24,https://canvas.uw.edu/courses/1696999/assignments/8859198
Project Final Prototype,Mar 11 at 10pm,9,-/100 pts,INFO 200 B Wi 24,https://canvas.uw.edu/courses/1696999/assignments/8859214
Optional Project Pitch Video,Mar 13 at 10pm,11,None,INFO 200 B Wi 24,https://canvas.uw.edu/courses/1696999/assignments/8859208
"Hw Ch. 25, 28, & 29",Mar 7 at 11:59pm,5,-/23 pts,PHIL 120 A Wi 24: Introduction To Logic,https://canvas.uw.edu/courses/1697882/assignments/8492197
Review for Final,Mar 10 at 11:59pm,8,-/109 pts,PHIL 120 A Wi 24: Introduction To Logic,https://canvas.uw.edu/courses/1697882/assignments/8492195
Hw Ch. 30-31,Mar 10 at 11:59pm,8,-/33 pts,PHIL 120 A Wi 24: Introduction To Logic,https://canvas.uw.edu/courses/1697882/assignments/8492202
Hw Ch. 32-33,Mar 10 at 11:59pm,8,-/23 pts,PHIL 120 A Wi 24: Introduction To Logic,https://canvas.uw.edu/courses/1697882/assignments/8492205
